lang,variant,target,vuln_id,pkg_name,installed_version,fixed_version,severity
go,naive,harden-go:naive (debian 13.5),CVE-2011-3374,apt,3.0.3,,LOW
go,naive,harden-go:naive (debian 13.5),TEMP-0841856-B18BAF,bash,5.2.37-2+b9,,LOW
go,naive,harden-go:naive (debian 13.5),CVE-2017-13716,binutils,2.44-3,,LOW
go,naive,harden-go:naive (debian 13.5),CVE-2018-20673,binutils,2.44-3,,LOW
go,naive,harden-go:naive (debian 13.5),CVE-2018-20712,binutils,2.44-3,,LOW
go,naive,harden-go:naive (debian 13.5),CVE-2018-9996,binutils,2.44-3,,LOW
go,naive,harden-go:naive (debian 13.5),CVE-2021-32256,binutils,2.44-3,,LOW
go,naive,harden-go:naive (debian 13.5),CVE-2025-11081,binutils,2.44-3,,LOW
go,naive,harden-go:naive (debian 13.5),CVE-2025-11082,binutils,2.44-3,,LOW
go,naive,harden-go:naive (debian 13.5),CVE-2025-11083,binutils,2.44-3,,LOW
go,naive,harden-go:naive (debian 13.5),CVE-2025-11412,binutils,2.44-3,,LOW
go,naive,harden-go:naive (debian 13.5),CVE-2025-11413,binutils,2.44-3,,LOW
go,naive,harden-go:naive (debian 13.5),CVE-2025-11414,binutils,2.44-3,,LOW
go,naive,harden-go:naive (debian 13.5),CVE-2025-1147,binutils,2.44-3,,LOW
go,naive,harden-go:naive (debian 13.5),CVE-2025-1148,binutils,2.44-3,,LOW
go,naive,harden-go:naive (debian 13.5),CVE-2025-1149,binutils,2.44-3,,LOW
go,naive,harden-go:naive (debian 13.5),CVE-2025-11494,binutils,2.44-3,,LOW
go,naive,harden-go:naive (debian 13.5),CVE-2025-11495,binutils,2.44-3,,LOW
go,naive,harden-go:naive (debian 13.5),CVE-2025-1150,binutils,2.44-3,,LOW
go,naive,harden-go:naive (debian 13.5),CVE-2025-1151,binutils,2.44-3,,LOW
go,naive,harden-go:naive (debian 13.5),CVE-2025-1152,binutils,2.44-3,,LOW
go,naive,harden-go:naive (debian 13.5),CVE-2025-1153,binutils,2.44-3,,LOW
go,naive,harden-go:naive (debian 13.5),CVE-2025-1176,binutils,2.44-3,,LOW
go,naive,harden-go:naive (debian 13.5),CVE-2025-1178,binutils,2.44-3,,LOW
go,naive,harden-go:naive (debian 13.5),CVE-2025-1180,binutils,2.44-3,,LOW
